Issue,URL,Class,,Remarks,Memo
25,https://github.com/citusdata/citus/issues/25,,,,"[Content]
[Class]"
32,https://github.com/citusdata/citus/issues/32,,,,
105,https://github.com/citusdata/citus/issues/105,,,,
277,https://github.com/citusdata/citus/issues/277,,,,
289,https://github.com/citusdata/citus/issues/289,,,,
292,https://github.com/citusdata/citus/issues/292,,,,
294,https://github.com/citusdata/citus/issues/294,,,,
295,https://github.com/citusdata/citus/issues/295,,,,
296,https://github.com/citusdata/citus/issues/296,,,,
297,https://github.com/citusdata/citus/issues/297,,,,
298,https://github.com/citusdata/citus/issues/298,,,,
302,https://github.com/citusdata/citus/issues/302,,,,
551,https://github.com/citusdata/citus/issues/551,,,,
567,https://github.com/citusdata/citus/issues/567,,,,
638,https://github.com/citusdata/citus/issues/638,,,,
746,https://github.com/citusdata/citus/issues/746,,,,
761,https://github.com/citusdata/citus/issues/761,,,,
771,https://github.com/citusdata/citus/issues/771,,,,
883,https://github.com/citusdata/citus/issues/883,,,,
1032,https://github.com/citusdata/citus/issues/1032,,,,
1107,https://github.com/citusdata/citus/issues/1107,,,,
1144,https://github.com/citusdata/citus/issues/1144,,,,
1176,https://github.com/citusdata/citus/issues/1176,,,,
1212,https://github.com/citusdata/citus/issues/1212,,,,
1244,https://github.com/citusdata/citus/issues/1244,,,,
1260,https://github.com/citusdata/citus/issues/1260,,,,
1404,https://github.com/citusdata/citus/issues/1404,,,,
1706,https://github.com/citusdata/citus/issues/1706,,,,
1789,https://github.com/citusdata/citus/issues/1789,,,,
1848,https://github.com/citusdata/citus/issues/1848,,,,
2029,https://github.com/citusdata/citus/issues/2029,,,,
2517,https://github.com/citusdata/citus/issues/2517,,,,
2522,https://github.com/citusdata/citus/issues/2522,,,,
2761,https://github.com/citusdata/citus/issues/2761,,,,
2834,https://github.com/citusdata/citus/issues/2834,,,,
2841,https://github.com/citusdata/citus/issues/2841,,,,
2847,https://github.com/citusdata/citus/issues/2847,,,,
3143,https://github.com/citusdata/citus/issues/3143,,,,
3390,https://github.com/citusdata/citus/issues/3390,,,,
3392,https://github.com/citusdata/citus/issues/3392,,,,
3398,https://github.com/citusdata/citus/issues/3398,,,,
3532,https://github.com/citusdata/citus/issues/3532,,,,
3641,https://github.com/citusdata/citus/issues/3641,,,,
3885,https://github.com/citusdata/citus/issues/3885,,,,
67,https://github.com/gluster/glusterfs/issues/67,,,,
68,https://github.com/gluster/glusterfs/issues/68,,,,
69,https://github.com/gluster/glusterfs/issues/69,,,,
80,https://github.com/gluster/glusterfs/issues/80,,,,
113,https://github.com/gluster/glusterfs/issues/113,,,,
144,https://github.com/gluster/glusterfs/issues/144,,,,
156,https://github.com/gluster/glusterfs/issues/156,,,,
164,https://github.com/gluster/glusterfs/issues/164,,,,
176,https://github.com/gluster/glusterfs/issues/176,,,,
203,https://github.com/gluster/glusterfs/issues/203,,,,
219,https://github.com/gluster/glusterfs/issues/219,,,,
280,https://github.com/gluster/glusterfs/issues/280,,,,
289,https://github.com/gluster/glusterfs/issues/289,,,,
326,https://github.com/gluster/glusterfs/issues/326,,,,
333,https://github.com/gluster/glusterfs/issues/333,,,,
334,https://github.com/gluster/glusterfs/issues/334,,,,
335,https://github.com/gluster/glusterfs/issues/335,,,,
336,https://github.com/gluster/glusterfs/issues/336,,,,
337,https://github.com/gluster/glusterfs/issues/337,,,,
339,https://github.com/gluster/glusterfs/issues/339,,,,
378,https://github.com/gluster/glusterfs/issues/378,,,,
391,https://github.com/gluster/glusterfs/issues/391,,,,
399,https://github.com/gluster/glusterfs/issues/399,,,,
401,https://github.com/gluster/glusterfs/issues/401,,,,
404,https://github.com/gluster/glusterfs/issues/404,,,,
407,https://github.com/gluster/glusterfs/issues/407,,,,
408,https://github.com/gluster/glusterfs/issues/408,,,,
413,https://github.com/gluster/glusterfs/issues/413,,,,
434,https://github.com/gluster/glusterfs/issues/434,,,,
488,https://github.com/gluster/glusterfs/issues/488,,,,
489,https://github.com/gluster/glusterfs/issues/489,,,,
501,https://github.com/gluster/glusterfs/issues/501,,,,
502,https://github.com/gluster/glusterfs/issues/502,,,,
503,https://github.com/gluster/glusterfs/issues/503,,,,
518,https://github.com/gluster/glusterfs/issues/518,,,,
532,https://github.com/gluster/glusterfs/issues/532,,,,
539,https://github.com/gluster/glusterfs/issues/539,,,,
597,https://github.com/gluster/glusterfs/issues/597,,,,
629,https://github.com/gluster/glusterfs/issues/629,,,,
630,https://github.com/gluster/glusterfs/issues/630,,,,
738,https://github.com/gluster/glusterfs/issues/738,,,,
750,https://github.com/gluster/glusterfs/issues/750,,,,
775,https://github.com/gluster/glusterfs/issues/775,,,,
2173,https://github.com/timescale/timescaledb/issues/2173,,,,
2321,https://github.com/timescale/timescaledb/issues/2321,,,,
2782,https://github.com/timescale/timescaledb/issues/2782,,,,
3605,https://github.com/timescale/timescaledb/issues/3605,,,,
3685,https://github.com/timescale/timescaledb/issues/3685,,,,
3721,https://github.com/timescale/timescaledb/issues/3721,,,,
3770,https://github.com/timescale/timescaledb/issues/3770,,,,
3806,https://github.com/timescale/timescaledb/issues/3806,,,,
3816,https://github.com/timescale/timescaledb/issues/3816,,,,
3817,https://github.com/timescale/timescaledb/issues/3817,,,,
3833,https://github.com/timescale/timescaledb/issues/3833,,,,